<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
جم-ا,20220109,49110.00,49990,48500,50130.00,50530,29062900200.00,233,50530
جم-ا,20220110,49000.00,52630,48920,50100.00,50130,24720291180.00,263,50130
جم-ا,20220111,50100.00,51990,49110,50090.00,50100,14724328210.00,177,50100
جم-ا,20220112,51170.00,51400,49000,50200.00,50090,44525319050.00,398,50090
جم-ا,20220115,50000.00,50200,49020,50130.00,50200,39365771960.00,239,50200
جم-ا,20220116,50080.00,50080,48000,49580.00,50130,47598628340.00,372,50130
جم-ا,20220117,49570.00,49990,48510,49340.00,49580,35014638240.00,247,49580
جم-ا,20220118,49000.00,49000,46880,48890.00,49340,23952129790.00,274,49340
جم-ا,20220119,47540.00,48900,47540,48680.00,48890,19965127970.00,201,48890
جم-ا,20220122,48680.00,48950,46500,48380.00,48680,29622309720.00,329,48680
جم-ا,20220123,46510.00,47500,45970,46630.00,48380,73373489450.00,275,48380
جم-ا,20220124,46000.00,46000,44300,44390.00,46630,115435112790.00,297,46630
جم-ا,20220125,44000.00,44300,42180,42630.00,44390,81425169090.00,375,44390
جم-ا,20220126,44760.00,44760,43000,43020.00,42630,37353786300.00,396,42630
جم-ا,20220129,44480.00,45160,43070,43610.00,43020,45078275560.00,429,43020
جم-ا,20220130,45160.00,45160,44110,43860.00,43610,25156591730.00,305,43610
جم-ا,20220131,43510.00,45150,43500,44030.00,43860,20523820760.00,188,43860
جم-ا,20220201,44080.00,44990,44080,44100.00,44030,22496149120.00,166,44030
جم-ا,20220202,44200.00,44580,43200,44050.00,44100,28400112590.00,209,44100
جم-ا,20220205,44530.00,44980,43600,44070.00,44050,41149198890.00,242,44050
جم-ا,20220206,44070.00,44380,42500,43790.00,44070,37943426630.00,240,44070
جم-ا,20220207,43010.00,44490,43000,43790.00,43790,14036210100.00,160,43790
جم-ا,20220208,43780.00,44500,43780,43840.00,43790,49469126500.00,96,43790
جم-ا,20220209,43890.00,43940,43550,43760.00,43840,82682851560.00,336,43840
جم-ا,20220212,43250.00,44500,43000,43750.00,43760,92350170040.00,484,43760
