<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>,<OPENINT>,<OPENINT>
جم-ا,20160424,5120.00,5120,5066,5178.13,5186,819704126.00,21,5186
جم-ا,20160425,5077.87,5119,5078,5176.53,5178,227694763.00,26,5178
جم-ا,20160426,5067.73,5091,5040,5144.53,5177,2360397085.00,35,5177
جم-ا,20160427,5040.00,5040,5013,5140.80,5145,290499573.00,24,5145
جم-ا,20160430,4966.40,5093,4966,5124.27,5141,1414748888.00,48,5141
جم-ا,20160501,5013.33,5175,4992,5174.40,5124,250995272333.00,103,5124
جم-ا,20160502,5088.00,5109,4916,5097.07,5174,3408943392.00,70,5174
جم-ا,20160503,4960.00,5122,4843,5084.80,5097,57484017748.00,166,5097
جم-ا,20160504,4907.20,5013,4907,5080.53,5085,458802400.00,17,5085
جم-ا,20160507,4873.60,4923,4853,5019.73,5081,3297003243.00,38,5081
جم-ا,20160508,4858.67,5173,4843,5112.00,5020,27509256953.00,101,5020
جم-ا,20160509,4986.67,5066,4917,5074.13,5112,2103360419.00,51,5112
جم-ا,20160510,5253.33,5253,4976,5102.40,5074,18156327914.00,160,5074
جم-ا,20160511,5102.40,5173,4998,5150.40,5102,23332838734.00,137,5102
جم-ا,20160514,5116.27,5173,5115,5149.87,5150,5013961240.00,93,5150
جم-ا,20160515,4960.00,5013,4960,5143.47,5150,350809202.00,39,5150
جم-ا,20160516,4934.93,5035,4891,5134.40,5143,458608196.00,29,5143
جم-ا,20160517,5011.20,5119,5011,5132.27,5134,203786379.00,21,5134
جم-ا,20160518,4970.67,5067,4965,5125.33,5132,613750535.00,21,5132
جم-ا,20160521,5093.33,5146,4976,5123.73,5125,290277082.00,18,5125
جم-ا,20160523,4968.00,5013,4968,5120.00,5124,263203766.00,27,5124
جم-ا,20160524,4931.20,4960,4878,5110.93,5120,378542443.00,26,5120
جم-ا,20160525,5056.00,5060,4950,4964.80,5111,14766348775.00,92,5111
جم-ا,20160528,4960.00,4960,4880,4963.73,4965,210186802.00,22,4965
جم-ا,20160529,4963.73,4964,4891,4962.13,4964,741865925.00,14,4964
جم-ا,20160530,4963.73,5119,4954,5033.07,4962,10632684039.00,47,4962
جم-ا,20160531,5033.07,5033,4949,5032.53,5033,143116480.00,13,5033
جم-ا,20160601,5001.07,5029,4938,5031.47,5033,198978132.00,12,5033
جم-ا,20160605,4937.60,5031,4938,5029.33,5031,22315117158.00,19,5031
جم-ا,20160606,5006.93,5082,4878,5059.73,5029,21288047578.00,56,5029
جم-ا,20160607,5058.67,5060,4907,5053.87,5060,548532675.00,26,5060
جم-ا,20160608,4913.07,5003,4913,5052.27,5054,129071159.00,17,5054
جم-ا,20160611,4933.33,4944,4901,5035.20,5052,1148336151.00,32,5052
جم-ا,20160612,4917.33,5135,4917,5108.27,5035,49199369593.00,54,5035
جم-ا,20160613,4917.87,4923,4882,5096.00,5108,541750727.00,11,5108
جم-ا,20160614,4917.87,5012,4918,5091.20,5096,285126156.00,14,5096
جم-ا,20160615,5046.40,5046,4939,5089.07,5091,172620488.00,17,5091
جم-ا,20160618,4960.00,4981,4960,5070.93,5089,1353561800.00,20,5089
جم-ا,20160619,4986.67,4987,4907,5019.73,5071,3711047025.00,47,5071
جم-ا,20160620,4965.33,4998,4882,5018.67,5020,114507244.00,18,5020
جم-ا,20160621,4897.07,4943,4897,5012.80,5019,591638718.00,32,5019
جم-ا,20160622,4906.67,5012,4907,5006.40,5013,1172295811.00,17,5013
جم-ا,20160625,5012.80,5013,4960,5004.27,5006,9997663556.00,34,5006
جم-ا,20160626,4906.67,4965,4907,5003.20,5004,217587020.00,15,5004
جم-ا,20160628,4936.00,4987,4936,4960.00,5003,29227127112.00,85,5003
جم-ا,20160629,4965.33,4965,4893,4937.07,4960,3778814109.00,85,4960
جم-ا,20160702,4960.00,4960,4871,4954.13,4937,20965733399.00,75,4937
جم-ا,20160703,4933.33,4960,4881,4952.53,4954,574347782.00,21,4954
جم-ا,20160704,4896.53,4953,4896,4950.40,4953,360761360.00,20,4953
جم-ا,20160705,4882.67,4907,4883,4949.87,4950,66083390.00,6,4950
جم-ا,20160709,4889.60,4938,4880,4945.60,4950,1431120704.00,31,4950
جم-ا,20160710,4938.13,5082,4907,5056.53,4946,12056798430.00,88,4946
جم-ا,20160711,5050.67,5051,4955,5045.87,5057,1283610339.00,33,5057
جم-ا,20160712,5044.27,5045,4928,5044.27,5046,240250084.00,26,5046
جم-ا,20160713,5013.33,5040,4960,5035.20,5044,10219607859.00,61,5044
جم-ا,20160716,5029.33,5034,4966,5032.53,5035,1438039755.00,56,5035
جم-ا,20160717,0,0,0,5032.53,5033,0.00,0,5033
جم-ا,20160718,0,0,0,5032.53,5033,0.00,0,5033
جم-ا,20160719,0,0,0,5032.53,5033,0.00,0,5033
جم-ا,20160720,0,0,0,5032.53,5033,0.00,0,5033
جم-ا,20160723,0,0,0,4232.53,4233,0.00,0,4233
جم-ا,20160724,4232.53,4373,4231,4251.73,4233,11425729919.00,99,4233
جم-ا,20160725,4288.00,4288,4213,4242.67,4252,17922768342.00,145,4252
جم-ا,20160726,4266.67,4267,4213,4241.07,4243,631929663.00,29,4243
جم-ا,20160727,4336.00,4373,4213,4242.13,4241,3429508398.00,54,4241
جم-ا,20160731,4250.67,4251,4160,4219.20,4242,3121772592.00,59,4242
جم-ا,20160801,4254.93,4267,4187,4242.67,4219,5993023055.00,40,4219
جم-ا,20160802,4166.40,4277,4165,4232.53,4243,12475988442.00,98,4243
جم-ا,20160803,4286.40,4286,4219,4232.53,4233,653391910.00,20,4233
جم-ا,20160806,4213.33,4293,4213,4238.40,4233,1900457781.00,55,4233
جم-ا,20160807,4293.33,4347,4267,4281.60,4238,11791143782.00,88,4238
جم-ا,20160808,4330.67,4495,4331,4456.00,4282,13722573812.00,130,4282
جم-ا,20160809,4368.53,4453,4369,4452.80,4456,458352155.00,36,4456
جم-ا,20160810,4370.67,4373,4304,4334.40,4453,14793059253.00,66,4453
جم-ا,20160813,4328.00,4427,4293,4347.20,4334,11147692038.00,87,4334
جم-ا,20160814,4297.60,4389,4298,4346.13,4347,562082222.00,25,4347
جم-ا,20160815,4341.87,4346,4299,4343.47,4346,676866510.00,27,4346
جم-ا,20160816,4373.33,4383,4363,4353.60,4343,3368171791.00,37,4343
جم-ا,20160817,4294.40,4373,4294,4353.60,4354,611398165.00,21,4354
جم-ا,20160820,4320.00,4373,4320,4353.60,4354,97656953.00,19,4354
جم-ا,20160821,4322.13,4399,4322,4352.53,4354,803065651.00,19,4354
جم-ا,20160822,4320.00,4368,4305,4352.53,4353,67921431672.00,65,4353
جم-ا,20160823,4373.33,4373,4340,4352.53,4353,74264680.00,7,4353
جم-ا,20160824,4330.67,4453,4315,4377.60,4353,7303076448.00,85,4353
جم-ا,20160827,4323.20,4480,4323,4411.73,4378,4668701770.00,112,4378
جم-ا,20160828,4347.73,4459,4337,4442.13,4412,13911081273.00,49,4412
جم-ا,20160829,4326.40,4450,4326,4437.87,4442,1128143262.00,47,4442
جم-ا,20160830,4347.20,4413,4327,4434.13,4438,384330267.00,22,4438
جم-ا,20160831,4373.33,4405,4333,4430.40,4434,509955516.00,31,4434
جم-ا,20160903,4344.53,4395,4331,4429.33,4430,93555872.00,20,4430
جم-ا,20160904,4394.67,4395,4353,4427.73,4429,231309590.00,29,4429
جم-ا,20160905,4349.33,4354,4345,4426.13,4428,234746651.00,11,4428
جم-ا,20160906,4347.20,4373,4346,4422.93,4426,418051043.00,21,4426
جم-ا,20160907,4362.67,4395,4357,4416.53,4423,1213700562.00,30,4423
جم-ا,20160910,4390.40,4390,4352,4414.93,4417,267364875.00,12,4417
جم-ا,20160911,4352.00,4373,4352,4411.20,4415,687775986.00,34,4415
جم-ا,20160913,4352.00,4365,4352,4402.13,4411,1525051900.00,29,4411
جم-ا,20160914,4373.33,4523,4364,4458.13,4402,10820274014.00,183,4402
جم-ا,20160917,4373.33,4374,4358,4454.93,4458,363976272.00,25,4458
جم-ا,20160918,4399.47,4427,4363,4454.40,4455,195986268.00,14,4455
جم-ا,20160919,4357.33,4454,4357,4450.67,4454,21580172921.00,28,4454
جم-ا,20160921,4478.93,4655,4360,4547.20,4451,13040546734.00,144,4451
جم-ا,20160924,4491.73,4510,4433,4542.93,4547,781580242.00,35,4547
جم-ا,20160925,4426.67,4475,4427,4538.67,4543,391497400.00,23,4543
جم-ا,20160926,4409.07,4539,4401,4537.07,4539,34791219546.00,114,4539
جم-ا,20160927,4426.67,4475,4427,4529.07,4537,759654740.00,25,4537
جم-ا,20160928,4470.40,4470,4427,4523.73,4529,528415858.00,18,4529
جم-ا,20161001,4437.87,4453,4406,4521.60,4524,229129989.00,15,4524
جم-ا,20161002,4416.00,4479,4415,4518.93,4522,300507933.00,18,4522
جم-ا,20161003,4418.13,4469,4412,4496.00,4519,2190042670.00,25,4519
جم-ا,20161004,4406.40,4447,4374,4477.33,4496,2123860624.00,43,4496
جم-ا,20161005,4373.87,4411,4373,4470.93,4477,618835925.00,31,4477
جم-ا,20161008,4373.33,4655,4373,4517.87,4471,3631682458.00,69,4471
جم-ا,20161009,4620.27,4620,4428,4517.33,4518,156489387.00,13,4518
جم-ا,20161010,4391.47,4437,4391,4482.13,4517,3001682283.00,41,4517
جم-ا,20161012,0,0,0,4482.13,4482,0.00,0,4482
جم-ا,20161015,4426.67,4445,4419,4478.93,4482,639759190.00,32,4482
جم-ا,20161016,4416.00,4448,4383,4471.47,4479,1146282826.00,35,4479
جم-ا,20161017,4405.33,4437,4391,4462.40,4471,1250020545.00,32,4471
جم-ا,20161018,4426.67,4639,4427,4581.87,4462,8783627343.00,173,4462
جم-ا,20161019,4637.87,4773,4533,4658.13,4582,22269036643.00,167,4582
جم-ا,20161022,4538.67,4539,4480,4651.73,4658,438563732.00,28,4658
جم-ا,20161023,4538.67,4539,4480,4632.00,4652,1201113461.00,43,4652
جم-ا,20161024,4480.00,4533,4480,4612.27,4632,1495217332.00,57,4632
جم-ا,20161025,4482.67,4533,4480,4609.07,4612,230633390.00,17,4612
جم-ا,20161026,4506.67,4517,4495,4588.27,4609,1915773890.00,72,4609
جم-ا,20161027,0,0,0,4588.27,4588,0.00,0,4588
جم-ا,20161028,0,0,0,4588.27,4588,0.00,0,4588
جم-ا,20161029,4527.47,4747,4527,4672.00,4588,10849478243.00,128,4588
جم-ا,20161030,4666.67,4747,4563,4667.73,4672,2259360115.00,42,4672
جم-ا,20161031,4640.00,4640,4529,4665.07,4668,208643276.00,22,4668
جم-ا,20161101,4526.40,4528,4492,4652.80,4665,726515004.00,29,4665
جم-ا,20161102,4490.67,4559,4488,4641.60,4653,818527208.00,30,4653
جم-ا,20161105,4513.07,4615,4513,4636.80,4642,386398055.00,14,4642
جم-ا,20161106,4612.80,4613,4517,4619.73,4637,1886249104.00,52,4637
جم-ا,20161107,4534.93,4612,4535,4616.00,4620,838828990.00,22,4620
جم-ا,20161108,4541.33,4611,4525,4585.60,4616,5669365023.00,61,4616
جم-ا,20161109,4507.20,4533,4389,4539.73,4586,3996820713.00,54,4586
جم-ا,20161112,4480.00,4534,4480,4538.13,4540,1821845008.00,55,4540
جم-ا,20161113,4533.33,4533,4438,4520.53,4538,3531634979.00,22,4538
جم-ا,20161114,4586.67,4741,4581,4636.27,4521,7383178830.00,132,4521
جم-ا,20161115,4597.33,4728,4597,4721.60,4636,11008291772.00,41,4636
جم-ا,20161116,4708.27,4885,4533,4881.07,4722,377337297909.00,138,4722
جم-ا,20161119,4685.87,4757,4646,4869.87,4881,677768616.00,17,4881
جم-ا,20161121,4646.93,4768,4647,4841.07,4870,1766637332.00,65,4870
جم-ا,20161122,4693.33,4747,4693,4814.93,4841,2507531497.00,44,4841
جم-ا,20161123,4733.87,4767,4733,4790.40,4815,3353287613.00,59,4815
جم-ا,20161126,4746.67,4747,4683,4783.47,4790,866080084.00,29,4790
جم-ا,20161127,4746.67,4752,4693,4780.27,4783,495530652.00,20,4783
جم-ا,20161129,4720.00,4780,4694,4777.07,4780,2947009292.00,30,4780
جم-ا,20161203,4794.67,5015,4795,5003.20,4777,12919878190.00,200,4777
جم-ا,20161204,4859.20,4907,4858,4981.87,5003,1649082225.00,47,5003
جم-ا,20161205,4906.13,5067,4906,5022.93,4982,9582383358.00,168,4982
جم-ا,20161206,5088.00,5147,5025,5102.40,5023,20588630351.00,174,5023
جم-ا,20161207,5073.07,5147,5073,5114.67,5102,16242756842.00,132,5102
جم-ا,20161210,5013.33,5217,5013,5123.20,5115,6459727790.00,108,5115
جم-ا,20161211,5093.33,5216,5093,5137.60,5123,4719905715.00,115,5123
جم-ا,20161212,5146.67,5171,5109,5141.33,5138,41249581207.00,153,5138
جم-ا,20161213,5173.33,5173,4889,5112.53,5141,3915678069.00,80,5141
جم-ا,20161214,5120.00,5157,5068,5125.87,5113,6557832475.00,64,5113
جم-ا,20161218,5146.67,5168,5069,5123.73,5126,564830104.00,30,5126
جم-ا,20161219,5067.20,5141,5067,5112.53,5124,2154398532.00,38,5124
جم-ا,20161220,5072.00,5093,5067,5099.20,5113,3031787973.00,34,5113
جم-ا,20161221,5067.20,5120,5067,5103.47,5099,4152453408.00,40,5099
جم-ا,20161224,5140.27,5140,5083,5105.07,5103,1514415630.00,28,5103
جم-ا,20161225,5119.47,5119,5013,5083.73,5105,5108322831.00,48,5105
جم-ا,20161226,5109.33,5214,5109,5126.40,5084,20365629178.00,120,5084
جم-ا,20161227,5141.33,5197,5141,5170.13,5126,15725377013.00,142,5126
جم-ا,20161228,5173.33,5173,5069,5148.80,5170,5919143507.00,59,5170
جم-ا,20161231,5146.13,5147,5070,5072.00,5149,9708183625.00,25,5149
جم-ا,20170101,5069.33,5069,4963,5072.00,5072,198783486.00,19,5072
جم-ا,20170102,5066.13,5067,4963,5035.73,5072,6230330246.00,62,5072
جم-ا,20170103,5013.33,5119,5013,5050.67,5036,11975407480.00,82,5036
جم-ا,20170104,5066.67,5093,5015,5054.93,5051,2204668080.00,25,5051
جم-ا,20170107,5055.47,5120,5014,5116.27,5055,53550984429.00,153,5055
جم-ا,20170108,5024.00,5093,5014,5098.67,5116,1954447822.00,29,5116
جم-ا,20170109,5014.40,5083,5014,5091.73,5099,1218500240.00,45,5099
جم-ا,20170111,5016.53,5088,5017,5088.53,5092,856364382.00,32,5092
جم-ا,20170114,5075.20,5115,5067,5092.27,5089,4651623024.00,45,5089
جم-ا,20170115,5066.67,5093,5013,5086.40,5092,10170734704.00,66,5092
جم-ا,20170116,5014.40,5120,5013,5086.93,5086,1503986058.00,21,5086
جم-ا,20170117,5061.33,5146,5049,5108.27,5087,8751888378.00,84,5087
جم-ا,20170118,5114.67,5120,5071,5108.80,5108,541136165.00,10,5108
جم-ا,20170121,5146.67,5147,5031,5108.80,5109,661480638.00,20,5109
جم-ا,20170122,5120.00,5147,5052,5133.33,5109,7578753081.00,76,5109
جم-ا,20170123,5171.20,5171,5070,5133.87,5133,110536650.00,6,5133
جم-ا,20170124,5117.33,5120,5067,5133.33,5134,100307726.00,18,5134
جم-ا,20170125,5067.20,5093,5014,5132.80,5133,71634014.00,14,5133
جم-ا,20170128,5066.67,5067,5065,5130.67,5133,284932200.00,6,5133
جم-ا,20170129,5066.67,5168,5015,5078.40,5131,20258695381.00,121,5131
جم-ا,20170130,5066.67,5067,5056,5077.33,5078,473783190.00,12,5078
جم-ا,20170131,5066.67,5120,5054,5076.27,5077,896905080.00,21,5077
جم-ا,20170201,5077.33,5093,5017,5072.00,5076,1194208383.00,35,5076
جم-ا,20170204,5016.53,5017,4969,5062.93,5072,1533127066.00,18,5072
جم-ا,20170205,4976.53,4997,4975,5052.27,5063,1315196920.00,21,5063
جم-ا,20170206,4965.33,5099,4965,5049.07,5052,860880532.00,29,5052
جم-ا,20170207,5013.33,5093,4981,5044.27,5049,1974767372.00,27,5049
جم-ا,20170208,4977.07,5035,4977,5040.53,5044,995618256.00,15,5044
جم-ا,20170211,4986.67,5040,4963,5017.60,5041,3196445216.00,44,5041
جم-ا,20170212,4962.67,5066,4960,5017.60,5018,2527313776.00,42,5018
جم-ا,20170213,5064.00,5066,4991,5062.93,5018,9678788393.00,32,5018
جم-ا,20170214,5061.33,5072,5014,5060.80,5063,4014468473.00,37,5063
جم-ا,20170215,5086.40,5200,5067,5114.67,5061,37656191785.00,135,5061
جم-ا,20170218,5104.00,5146,5094,5115.20,5115,1753986340.00,24,5115
جم-ا,20170219,5136.00,5173,5120,5128.53,5115,3830270345.00,60,5115
جم-ا,20170220,5173.33,5253,5148,5172.80,5129,5108312806.00,114,5129
جم-ا,20170221,5226.13,5253,5211,5178.67,5173,944859450.00,28,5173
جم-ا,20170222,5264.00,5264,5068,5179.73,5179,1958143504.00,27,5179
جم-ا,20170225,5173.33,5173,5051,5072.53,5180,11150716875.00,79,5180
جم-ا,20170226,5184.00,5184,4819,4985.60,5073,8912858384.00,92,5073
جم-ا,20170227,5157.33,5163,5013,5086.40,4986,9917452151.00,173,4986
جم-ا,20170228,5108.80,5109,5013,5085.87,5086,15890299480.00,89,5086
جم-ا,20170301,5110.40,5110,4960,5084.80,5086,130594980.00,21,5086
جم-ا,20170304,4907.20,5168,4907,5075.73,5085,1025640747.00,37,5085
جم-ا,20170305,5082.67,5088,4912,5075.73,5076,81615641.00,10,5076
جم-ا,20170306,5077.87,5126,4918,5110.40,5076,12804126947.00,62,5076
جم-ا,20170307,5114.13,5146,5013,5117.87,5110,4929059118.00,36,5110
جم-ا,20170308,5013.87,5014,4960,5116.27,5118,114625008.00,17,5118
جم-ا,20170311,4942.40,5226,4942,5184.53,5116,13684916479.00,69,5116
جم-ا,20170312,4968.53,5173,4969,5179.73,5185,246131690.00,21,5185
جم-ا,20170313,5066.13,5066,5066,5179.73,5180,1092385.00,1,5180
جم-ا,20170314,4962.13,4987,4962,5149.33,5180,1463729340.00,25,5180
جم-ا,20170315,4966.93,5093,4967,5146.67,5149,275637473.00,11,5149
جم-ا,20170318,5142.40,5147,5077,5144.00,5147,2170355350.00,16,5147
جم-ا,20170325,5076.80,5077,5066,5141.87,5144,301818792.00,11,5144
جم-ا,20170326,5143.47,5144,5019,5139.73,5142,409284350.00,8,5142
جم-ا,20170327,5146.67,5147,5146,5140.27,5140,815423000.00,12,5140
جم-ا,20170328,5146.13,5152,5125,5140.80,5140,510900590.00,19,5140
جم-ا,20170329,5146.67,5167,5097,5142.93,5141,1440101307.00,30,5141
جم-ا,20170403,5109.33,5168,5083,5094.40,5143,12131156769.00,34,5143
جم-ا,20170404,5168.00,5168,5067,5090.13,5094,2316297430.00,21,5094
جم-ا,20170405,5146.13,5169,5019,5114.67,5090,5339357979.00,42,5090
جم-ا,20170408,5165.87,5166,5013,5086.40,5115,3107022572.00,48,5115
جم-ا,20170409,5093.33,5093,5003,5074.67,5086,1581100040.00,14,5086
جم-ا,20170410,5073.60,5074,4993,5033.07,5075,7270813484.00,68,5075
جم-ا,20170412,5010.67,5067,4991,5032.53,5033,249935801.00,30,5033
جم-ا,20170415,4970.67,5058,4971,5027.73,5033,1769991817.00,34,5033
جم-ا,20170416,4990.40,5024,4990,5020.27,5028,5347425696.00,67,5028
جم-ا,20170417,5040.00,5040,4971,5005.33,5020,4711987058.00,81,5020
جم-ا,20170418,4972.27,5013,4960,4998.40,5005,1830603638.00,57,5005
جم-ا,20170419,4961.60,5013,4962,4996.27,4998,944778382.00,29,4998
جم-ا,20170422,4971.20,4987,4965,4965.87,4996,16637686324.00,80,4996
جم-ا,20170423,4981.33,5168,4976,5004.80,4966,4234123869.00,45,4966
جم-ا,20170424,4998.40,5119,4960,5021.87,5005,9034161305.00,82,5005
جم-ا,20170426,4984.00,5067,4984,5018.67,5022,1577110487.00,26,5022
جم-ا,20170429,5018.67,5169,4987,5054.93,5019,5959565170.00,63,5019
جم-ا,20170430,5040.00,5155,4951,5037.33,5055,6706980215.00,92,5055
جم-ا,20170501,5112.00,5117,4987,5048.00,5037,2777011603.00,29,5037
جم-ا,20170502,5065.60,5066,4971,5047.47,5048,171242060.00,13,5048
جم-ا,20170503,5049.60,5053,4944,5036.80,5047,1230375037.00,44,5047
جم-ا,20170506,5013.33,5043,4907,5023.47,5037,1593116490.00,49,5037
جم-ا,20170507,4907.20,5024,4907,5019.73,5023,327183426.00,22,5023
جم-ا,20170508,5018.67,5108,4906,5034.13,5020,6121415888.00,61,5020
جم-ا,20170509,5058.67,5067,5043,5043.20,5034,3817744867.00,35,5034
جم-ا,20170510,5057.07,5057,4960,5041.07,5043,352408158.00,11,5043
جم-ا,20170513,5102.93,5151,5013,5080.00,5041,6885138944.00,91,5041
جم-ا,20170514,5136.00,5173,4992,5122.13,5080,5597897030.00,87,5080
جم-ا,20170515,5146.67,5168,5019,5132.27,5122,2964880795.00,49,5122
جم-ا,20170516,5168.00,5199,4919,5113.60,5132,6961229943.00,82,5132
جم-ا,20170517,5066.67,5163,5015,5105.07,5114,6810475893.00,77,5114
جم-ا,20170520,5050.67,5162,5049,5100.27,5105,1192900864.00,14,5105
جم-ا,20170521,5136.00,5173,5047,5099.20,5100,4341123789.00,46,5100
جم-ا,20170522,5160.00,5173,5151,5156.27,5099,8683210537.00,56,5099
جم-ا,20170523,5162.67,5170,5120,5157.33,5156,2379442846.00,23,5156
جم-ا,20170524,5170.67,5171,5152,5157.33,5157,41795963500.00,200,5157
جم-ا,20170527,5162.67,5163,5067,5157.33,5157,36774440.00,11,5157
جم-ا,20170528,5013.33,5067,5008,5154.13,5157,211860700.00,17,5157
جم-ا,20170529,5146.67,5163,5003,5152.53,5154,304659428.00,19,5154
جم-ا,20170530,5040.00,5040,5013,5145.60,5153,488008000.00,13,5153
جم-ا,20170531,4997.33,4997,4992,5138.13,5146,468006120.00,12,5146
جم-ا,20170603,5050.67,5138,4997,5135.47,5138,31994710665.00,169,5138
جم-ا,20170606,5066.67,5119,5066,5134.93,5135,78275430.00,13,5135
جم-ا,20170607,5013.87,5014,4965,5108.27,5135,1532615490.00,49,5135
جم-ا,20170610,4965.33,5077,4965,5107.20,5108,103790433.00,24,5108
جم-ا,20170611,4939.20,5012,4939,5106.13,5107,91521570.00,17,5107
جم-ا,20170612,0,0,0,5106.13,5106,0.00,0,5106
جم-ا,20170613,5011.73,5066,4976,5104.00,5106,168912654.00,12,5106
جم-ا,20170614,4965.33,5060,4955,5084.27,5104,1438492420.00,44,5104
جم-ا,20170617,4944.00,5040,4918,5077.87,5084,399490512.00,17,5084
جم-ا,20170618,4986.67,4987,4944,5010.13,5078,6416781761.00,35,5078
جم-ا,20170619,5013.33,5035,4947,5010.67,5010,319942830.00,24,5010
جم-ا,20170620,5028.27,5067,4961,5030.40,5011,6280440602.00,68,5011
جم-ا,20170621,5060.80,5066,4997,5040.00,5030,3276656548.00,61,5030
جم-ا,20170624,5060.80,5061,5041,5040.53,5040,407325210.00,11,5040
جم-ا,20170625,5034.67,5035,5035,5040.53,5041,14632000.00,3,5041
جم-ا,20170628,4960.53,5059,4929,5041.07,5041,1471174160.00,35,5041
جم-ا,20170701,5058.13,5058,4961,5040.00,5041,327503661.00,39,5041
جم-ا,20170702,4965.87,5067,4966,5048.00,5040,3943724261.00,36,5040
جم-ا,20170703,5060.27,5060,5013,5045.87,5048,1993419898.00,49,5048
جم-ا,20170704,5056.00,5056,4987,5045.33,5046,149749562.00,20,5046
جم-ا,20170705,5054.93,5055,4987,5040.00,5045,1495558199.00,73,5045
جم-ا,20170708,0,0,0,5040.00,5040,0.00,0,5040
جم-ا,20170709,0,0,0,5040.00,5040,0.00,0,5040
جم-ا,20170710,0,0,0,5040.00,5040,0.00,0,5040
جم-ا,20170711,0,0,0,4202.67,4203,0.00,0,4203
جم-ا,20170712,0,0,0,4202.67,4203,0.00,0,4203
جم-ا,20170715,0,0,0,4202.67,4203,0.00,0,4203
جم-ا,20170716,4260.27,4260,4200,4246.93,4203,11076920964.00,103,4203
جم-ا,20170717,4162.13,4224,4162,4246.40,4247,107099336.00,17,4247
جم-ا,20170718,4165.87,4229,4166,4243.73,4246,692186816.00,39,4246
جم-ا,20170719,4234.67,4253,4187,4240.00,4244,1522138741.00,48,4244
جم-ا,20170722,4188.27,4224,4187,4237.33,4240,506279933.00,35,4240
جم-ا,20170723,4213.33,4266,4213,4246.40,4237,59161931528.00,403,4237
جم-ا,20170724,4229.33,4240,4213,4245.33,4246,282109550.00,13,4246
جم-ا,20170725,4218.67,4240,4213,4244.80,4245,218942800.00,11,4245
جم-ا,20170726,4188.27,4240,4188,4243.73,4245,234170061.00,16,4245
جم-ا,20170729,4229.33,4230,4161,4238.40,4244,921564621.00,37,4244
جم-ا,20170730,4160.00,4160,4086,4229.87,4238,761763003.00,41,4238
جم-ا,20170731,4187.73,4233,4122,4229.33,4230,386931700.00,16,4230
جم-ا,20170801,4133.33,4265,4099,4232.53,4229,2171819158.00,38,4229
جم-ا,20170802,4264.53,4265,4160,4232.00,4233,100338740.00,11,4233
جم-ا,20170806,4136.53,4357,4133,4244.80,4232,4116890123.00,54,4232
جم-ا,20170807,4120.00,4277,4119,4255.47,4245,5695383741.00,47,4245
جم-ا,20170808,4266.13,4266,4145,4252.27,4255,567484217.00,42,4255
جم-ا,20170809,4208.00,4213,4107,4243.20,4252,1062118991.00,44,4252
جم-ا,20170812,4109.33,4159,4101,4222.40,4243,1520269930.00,41,4243
جم-ا,20170813,4101.87,4157,4085,4200.00,4222,1714670839.00,47,4222
جم-ا,20170814,4085.87,4154,4085,4179.73,4200,3594231424.00,32,4200
جم-ا,20170815,4152.00,4152,4085,4172.80,4180,785206205.00,18,4180
جم-ا,20170816,4106.67,4143,4085,4169.07,4173,595070874.00,24,4173
جم-ا,20170819,4133.33,4160,4107,4169.07,4169,57314970.00,5,4169
جم-ا,20170820,4107.20,4118,4107,4160.53,4169,1541447358.00,31,4169
جم-ا,20170821,4106.67,4112,4107,4159.47,4161,196610050.00,10,4161
جم-ا,20170822,4158.93,4159,4107,4146.67,4159,13678260640.00,64,4159
جم-ا,20170823,4101.33,4213,4099,4149.87,4147,1206612230.00,35,4147
جم-ا,20170826,4213.33,4213,4160,4161.07,4150,2273783180.00,32,4150
جم-ا,20170827,4212.80,4266,4123,4176.53,4161,21439478010.00,131,4161
جم-ا,20170828,4186.67,4187,4155,4165.33,4177,12753589237.00,67,4177
جم-ا,20170829,4133.87,4213,4117,4161.60,4165,3797979874.00,46,4165
جم-ا,20170830,4207.47,4267,4161,4195.73,4162,6023431006.00,67,4162
جم-ا,20170902,4243.20,4267,4171,4196.80,4196,215755648.00,17,4196
جم-ا,20170903,4234.67,4272,4198,4203.73,4197,1484603341.00,40,4197
جم-ا,20170904,4208.00,4261,4208,4209.60,4204,11753947882.00,91,4204
جم-ا,20170905,4172.80,4261,4173,4210.67,4210,434843376.00,28,4210
جم-ا,20170906,4261.33,4293,4261,4256.00,4211,7077694656.00,90,4211
جم-ا,20170910,4292.80,4400,4293,4285.87,4256,3154458974.00,66,4256
جم-ا,20170911,0,0,0,4285.87,4286,0.00,0,4286
جم-ا,20170912,0,0,0,4285.87,4286,0.00,0,4286
جم-ا,20170913,0,0,0,4285.87,4286,0.00,0,4286
جم-ا,20170916,4320.53,4322,4320,4287.47,4286,499637300.00,8,4286
جم-ا,20170917,4320.00,4427,4295,4316.80,4287,8618288902.00,83,4287
جم-ا,20170918,4346.67,4415,4324,4317.87,4317,599124761.00,34,4317
جم-ا,20170919,4384.53,4385,4310,4321.07,4318,10235949600.00,108,4318
جم-ا,20170920,4400.00,4411,4336,4322.13,4321,178608570.00,21,4321
جم-ا,20170923,4373.33,4400,4331,4322.67,4322,203661630.00,24,4322
جم-ا,20170924,4357.33,4427,4320,4361.60,4323,10645615719.00,114,4323
